SCF #,SCF AO #,"SCF Assessment Objective (AO)
In addition to relevant policies, standards and procedures, the assessor shall examine, interview, and/or test to determine if appropriately scoped evidence exists to support the claim that:","PPTDF
Applicability",SCF Assessment Objective (AO) Origin(s),Notes / Errata,"Assessment
Rigor (AR)",SCF Defined Parameters (SDP),Organization Defined Parameters (ODP),"CMMC Level 1
AOs","NIST
800-53A","NIST
800-171A","NIST
800-171A R3","NIST
800-172A","Asset Type
examine/interview/test",Assessment Procedure,Expected Result(s),"Assessment Status
met / not met / not tested / an","Inherited
y/n",Assessment Frequency,Last Date Assessed,Assessment Performed By
CFG-02.1,CFG-02.1_A08,"the system is reviewed <A.03.04.06.ODP[06]: frequency> to identify unnecessary or nonsecure functions, ports, protocols, connections, and services.",Process,171A_R3_A.03.04.06.c,"US DoD ODP Value: at least every 12 months, when any system functions, ports, protocols, or services changes are made, and after any significant incidents or significant changes to risks",NIST 800-171,"at least every 12 months, when any system functions, ports, protocols, or services changes are made, and after any significant incidents or significant changes to risks",,,,,x,,,,,,,,,
CFG-02.1,CFG-02.1_A09,the baseline configuration of the system is reviewed <A.03.04.01.ODP[01]: frequency>.,Process,171A_R3_A.03.04.01.b[01],US DoD ODP Value: at least every 12 months and after any significant incidents or significant changes occur,NIST 800-171,at least every 12 months and after any significant incidents or significant changes occur,,,,,x,,,,,,,,,
CFG-02.1,CFG-02.1_A10,the baseline configuration of the system is updated <A.03.04.01.ODP[01]: frequency>.,Process,171A_R3_A.03.04.01.b[02],US DoD ODP Value: at least every 12 months and after any significant incidents or significant changes occur,NIST 800-171,at least every 12 months and after any significant incidents or significant changes occur,,,,,x,,,,,,,,,
CFG-02.2,CFG-02.2_A01,"system components for which to manage, apply and verify configuration settings are defined.",Process,"53A_R5_CM-06(01)_ODP[01]
53A_R5_CM-06(01)_ODP[03]
53A_R5_CM-06(01)_ODP[04]",,1,,,,x,,,,,,,,,,,
CFG-02.2,CFG-02.2_A02,"automated discovery and management tools are employed to maintain an up-to-date, complete, accurate and readily available inventory of system components.",Technology,"172A_3.4.3e[c]
53A_R5_CM-02(02)[03]
53A_R5_CM-02(02)[04]
53A_R5_CM-06(01)[01]
53A_R5_CM-06(01)[02]
53A_R5_CM-06(01)[03]",,1,,,,x,,,x,,,,,,,,
CFG-02.2,CFG-02.2_A03,automated discovery and management tools for the inventory of system components are identified.,Process,"172A_3.4.3e[a]
53A_R5_CM-02(02)_ODP
53A_R5_CM-06(01)_ODP[02]",,2,,,,x,,,x,,,,,,,,
CFG-02.2,CFG-02.2_A04,"an up-to-date, complete, accurate and readily available inventory of system components exists.",Technology,"172A_3.4.3e[b]
53A_R5_CM-02(02)[01]
53A_R5_CM-02(02)[02]",,2,,,,x,,,x,,,,,,,,
CFG-02.2,CFG-02.2_A05,activities associated with configuration-controlled changes to the system are monitored.,Process,171A_R3_A.03.04.03.d[01],,2,,,,,,x,,,,,,,,,
CFG-02.2,CFG-02.2_A06,activities associated with configuration-controlled changes to the system are reviewed.,Process,171A_R3_A.03.04.03.d[02],,2,,,,,,x,,,,,,,,,
CFG-02.3,CFG-02.3_A01,the number of previous baseline configuration versions to be retained is defined.,Process,53A_R5_CM-02(03)_ODP,,1,,,,x,,,,,,,,,,,
CFG-02.3,CFG-02.3_A02,organization-defined number of previous baseline configuration version(s) of the system is/are retained to support rollback.,Data,53A_R5_CM-02(03),,1,,,,x,,,,,,,,,,,
CFG-02.4,CFG-02.4_A01,a baseline configuration for system development environments that is managed separately from the operational baseline configuration is maintained.,Technology,53A_R5_CM-02(06)[01],,1,,,,x,,,,,,,,,,,
CFG-02.4,CFG-02.4_A02,a baseline configuration for test environments that is managed separately from the operational baseline configuration is maintained.,Technology,53A_R5_CM-02(06)[02],,3,,,,x,,,,,,,,,,,
CFG-02.5,CFG-02.5_A01,security requirements to be applied to the system or system components when individuals return from travel are defined.,Process,"53A_R5_CM-02(07)_ODP[01]
171A_R3_A.03.04.12.ODP[02]",,1,,,,x,,x,,,,,,,,,
CFG-02.5,CFG-02.5_A02,organization-defined systems or system components with organization-defined configurations are issued to individuals traveling to locations that the organization deems to be of significant risk.,Technology,"53A_R5_CM-02(07)(a)
53A_R5_CM-02(07)_ODP[03]",,1,,,,x,,,,,,,,,,,
CFG-02.5,CFG-02.5_A03,organization-defined controls are applied to the systems or system components when the individuals return from travel.,Technology,53A_R5_CM-02(07)(b),,3,,,,x,,,,,,,,,,,
CFG-02.5,CFG-02.5_A04,configurations for systems or system components to be issued to individuals traveling to high-risk locations are defined.,Process,"53A_R5_CM-02(07)_ODP[02]
172A_3.14.3e_ODP[1]
172A_3.14.3e[a]
172A_3.14.3e[b]
171A_R3_A.03.04.12.ODP[01]",,2,,,,x,,x,x,,,,,,,,
CFG-02.6,CFG-02.6_A01,network devices are configured to synchronize startup and running configuration files.,Technology,SCF Created,,1,,,,,,,,,,,,,,,
CFG-02.7,CFG-02.7_A01,configuration settings that reflect the most restrictive mode consistent with operational requirements are established and documented for components employed within the system using common secure configurations.,Technology,53A_R5_CM-06a.,,1,,,,x,,,,,,,,,,,
CFG-02.7,CFG-02.7_A02,changes to the configuration settings are controlled in accordance with organizational policies and procedures.,Technology,"53A_R5_CM-06d.[02]
53A_R5_CM-06b.",,1,,,,x,,,,,,,,,,,
CFG-02.7,CFG-02.7_A03,any deviations from established configuration settings are identified and documented.,Process,"53A_R5_CM-06c.[01]
171A_R3_A.03.04.02.b[01]",,1,,,,x,,x,,,,,,,,,
CFG-02.7,CFG-02.7_A04,any deviations from established configuration settings are approved.,Process,"53A_R5_CM-06c.[02]
171A_R3_A.03.04.02.b[02]",,1,,,,x,,x,,,,,,,,,
CFG-02.7,CFG-02.7_A05,common secure configurations to establish and document configuration settings for components employed within the system are defined.,Process,53A_R5_CM-06_ODP[01],,2,,,,x,,,,,,,,,,,
CFG-02.7,CFG-02.7_A06,system components for which approval of deviations is needed are defined.,Process,53A_R5_CM-06_ODP[02],,3,,,,x,,,,,,,,,,,
CFG-02.7,CFG-02.7_A07,operational requirements necessitating approval of deviations are defined.,Process,53A_R5_CM-06_ODP[03],,3,,,,x,,,,,,,,,,,
CFG-02.7,CFG-02.7_A08,changes to the configuration settings are monitored in accordance with organizational policies and procedures.,Process,53A_R5_CM-06d.[01],,3,,,,x,,,,,,,,,,,
CFG-02.8,CFG-02.8_A01,actions to be taken upon an unauthorized change are defined.,Process,53A_R5_CM-06(02)_ODP[01],,1,,,,x,,,,,,,,,,,
CFG-02.8,CFG-02.8_A02,organization-defined actions are taken in response to unauthorized changes to organization-defined configuration settings.,Process,53A_R5_CM-06(02),,1,,,,x,,,,,,,,,,,
CFG-02.8,CFG-02.8_A03,configuration settings requiring action upon an unauthorized change are defined.,Process,53A_R5_CM-06(02)_ODP[02],,3,,,,x,,,,,,,,,,,
CFG-02.9,CFG-02.9_A01,the selected control baseline is tailored by applying specified tailoring actions.,Technology,53A_R5_PL-11,,1,,,,x,,,,,,,,,,,
CFG-02.9,CFG-02.9_A02,"additional information for audit records is provided, as needed.",Technology,171A_R3_A.03.03.02.b,,2,,,,,,x,,,,,,,,,
CFG-03,CFG-03_A01,"configuration settings for the system that reflect the most restrictive mode consistent with operational requirements are defined (e.g., principle of least functionality).",Process,"171A_3.4.6[a]
53A_R5_CM-07_ODP[01]",,1,,,,x,x,,,,,,,,,,
CFG-03,CFG-03_A02,"systems are configured to provide only the defined essential capabilities, where unnecessary or nonsecure functions, ports, protocols, connections, and services are disabled or removed.",Technology,"171A_3.4.6[b]
53A_R5_CM-07a.",,1,,,,x,x,,,,,,,,,,
CFG-03,CFG-03_A03,functions to be prohibited or restricted are defined.,Process,53A_R5_CM-07_ODP[02],,2,,,,x,,,,,,,,,,,
CFG-03,CFG-03_A04,ports to be prohibited or restricted are defined.,Process,53A_R5_CM-07_ODP[03],,2,,,,x,,,,,,,,,,,
CFG-03,CFG-03_A05,protocols to be prohibited or restricted are defined.,Process,53A_R5_CM-07_ODP[04],,2,,,,x,,,,,,,,,,,
CFG-03,CFG-03_A06,software to be prohibited or restricted is defined.,Process,53A_R5_CM-07_ODP[05],,2,,,,x,,,,,,,,,,,
CFG-03,CFG-03_A07,services to be prohibited or restricted are defined.,Process,53A_R5_CM-07_ODP[06],,2,,,,x,,,,,,,,,,,
CFG-03,CFG-03_A08,the use of organization-defined functions is prohibited or restricted.,Technology,53A_R5_CM-07b.[01],,2,,,,x,,,,,,,,,,,
CFG-03,CFG-03_A09,the use of organization-defined ports is prohibited or restricted.,Technology,53A_R5_CM-07b.[02],,2,,,,x,,,,,,,,,,,
CFG-03,CFG-03_A10,the use of organization-defined protocols is prohibited or restricted.,Technology,53A_R5_CM-07b.[03],,2,,,,x,,,,,,,,,,,
CFG-03,CFG-03_A11,the use of organization-defined software is prohibited or restricted.,Technology,53A_R5_CM-07b.[04],,2,,,,x,,,,,,,,,,,
CFG-03,CFG-03_A12,the use of organization-defined services is prohibited or restricted.,Technology,53A_R5_CM-07b.[05],,2,,,,x,,,,,,,,,,,
CFG-03,CFG-03_A13,configuration settings for the system reflect the most restrictive mode consistent with operational requirements are defined.,Process,171A_R3_A.03.04.02.ODP[01],,2,,,,,,x,,,,,,,,,
CFG-03,CFG-03_A14,"unnecessary or nonsecure functions, ports, protocols, connections, and services are disabled or removed.",Technology,171A_R3_A.03.04.06.d,,2,,,,,,x,,,,,,,,,
CFG-03.1,CFG-03.1_A01,"the frequency at which to review the system to identify unnecessary or nonsecure functions, ports, protocols, connections, or services is defined.",Process,"53A_R5_CM-07(01)(a)
53A_R5_CM-07(01)_ODP[01]
171A_R3_A.03.04.06.ODP[06]",,1,at least quarterly or when there is a change,,,x,,x,,,,,,,,,
CFG-03.1,CFG-03.1_A02,"organization-defined functions, ports, protocols, software and services deemed to be unnecessary and/or non-secure are disabled or removed.",Technology,"53A_R5_CM-07(01)(b)[01]
53A_R5_CM-07(01)(b)[02]
53A_R5_CM-07(01)(b)[03]
53A_R5_CM-07(01)(b)[04]
53A_R5_CM-07(01)(b)[05]",,1,,,,x,,,,,,,,,,,
CFG-03.1,CFG-03.1_A03,essential programs are defined.,Process,171A_3.4.7[a],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A04,essential functions are defined.,Process,171A_3.4.7[d],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A05,essential ports are defined.,Process,171A_3.4.7[g],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A06,essential protocols are defined.,Process,171A_3.4.7[j],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A07,essential services are defined.,Process,171A_3.4.7[m],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A08,the use of nonessential programs is defined.,Process,171A_3.4.7[b],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A09,"the use of nonessential programs is restricted, disabled or prevented as defined.",Technology,171A_3.4.7[c],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A10,the use of nonessential functions is defined.,Process,171A_3.4.7[e],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A11,"the use of nonessential functions is restricted, disabled or prevented as defined.",Technology,171A_3.4.7[f],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A12,the use of nonessential ports is defined.,Process,171A_3.4.7[h],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A13,the use of nonessential protocols is defined.,Process,171A_3.4.7[k],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A14,"the use of nonessential ports is restricted, disabled or prevented as defined.",Technology,171A_3.4.7[i],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A15,"the use of nonessential protocols is restricted, disabled or prevented as defined.",Technology,171A_3.4.7[l],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A16,the use of nonessential services is defined.,Process,171A_3.4.7[n],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A17,"the use of nonessential services is restricted, disabled or prevented as defined.",Technology,171A_3.4.7[o],,2,,,,,x,,,,,,,,,,
CFG-03.1,CFG-03.1_A18,functions to be disabled or removed when deemed unnecessary or non-secure are defined.,Process,53A_R5_CM-07(01)_ODP[02],,3,,,,x,,,,,,,,,,,
CFG-03.1,CFG-03.1_A19,ports to be disabled or removed when deemed unnecessary or non-secure are defined.,Process,53A_R5_CM-07(01)_ODP[03],,3,,,,x,,,,,,,,,,,
CFG-03.1,CFG-03.1_A20,protocols to be disabled or removed when deemed unnecessary or non-secure are defined.,Process,53A_R5_CM-07(01)_ODP[04],,3,,,,x,,,,,,,,,,,
CFG-03.1,CFG-03.1_A21,software to be disabled or removed when deemed unnecessary or non-secure is defined.,Process,53A_R5_CM-07(01)_ODP[05],,3,,,,x,,,,,,,,,,,
CFG-03.1,CFG-03.1_A22,services to be disabled or removed when deemed unnecessary or non-secure are defined.,Process,53A_R5_CM-07(01)_ODP[06],,3,,,,x,,,,,,,,,,,
CFG-03.2,CFG-03.2_A01,"policies, rules of behavior, and/or access agreements regarding unauthorized software program usage and restrictions are defined.",Process,"53A_R5_CM-07(02)_ODP[01]
53A_R5_CM-07(02)_ODP[02]",,1,,,,x,,,,,,,,,,,
